"id","user_id","timestamp","tasks","content"
"1","6579d630-55c6-416c-a39f-e55e81fdcb8b","1723211734","{23,34,55,42,27,13}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"2","6579d630-55c6-416c-a39f-e55e81fdcb8b","1723211807","{55,53,10,21,43,22}","{""age"": ""25"", ""major"": ""Informatics"", ""english_level"": ""3"", ""education_level"": ""Master's Degree"", ""search_expertise"": ""4""}"
"3","f02f7886-546e-44a6-8f69-fe3c0be59b70","1723212494","{43,37,9,4,46,51}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"4","4eb2b5be-02b7-4088-8041-28a53d79bb40","1723212744","{36,41,24,1,46,3}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"5","4eb2b5be-02b7-4088-8041-28a53d79bb40","1723212803","{36,41,24,1,46,3}","{""stress_level"": ""1"", ""distraction_level"": ""1"", ""session_satisfaction"": ""1"", ""querying_satisfaction"": ""1"", ""search_layout_usefulness"": ""0""}"
"6","6579d630-55c6-416c-a39f-e55e81fdcb8b","1723213436","{17,20,23,51,30,42}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"7","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723213933","{44,18,9,16,11,22}","{""age"": ""22"", ""major"": ""Education "", ""english_level"": ""4"", ""education_level"": ""Bachelor's Degree"", ""search_expertise"": ""2""}"
"8","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723214606","{44,18,9,16,11,22}","{""stress_level"": ""1"", ""distraction_level"": ""1"", ""session_satisfaction"": ""1"", ""querying_satisfaction"": ""1"", ""search_layout_usefulness"": ""0""}"
"9","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723214640","{34,9,3,17,41,51}","{""age"": ""22"", ""major"": ""Education "", ""english_level"": ""4"", ""education_level"": ""Bachelor's Degree"", ""search_expertise"": ""2""}"
"10","6579d630-55c6-416c-a39f-e55e81fdcb8b","1723215334","{17,20,23,51,30,42}","{""stress_level"": ""1"", ""distraction_level"": ""1"", ""session_satisfaction"": ""1"", ""querying_satisfaction"": ""1"", ""search_layout_usefulness"": ""0""}"
"11","4eb2b5be-02b7-4088-8041-28a53d79bb40","1723215555","{14,32,33,23,60,4}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"12","4eb2b5be-02b7-4088-8041-28a53d79bb40","1723216053","{11,26,48,51,2,12}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"13","cc13bbf8-d87c-4727-ae96-f978af02c770","1723216348","{22,38,14,16,58,35}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"14","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723216500","{34,9,3,17,41,51}","{""stress_level"": ""3"", ""distraction_level"": ""3"", ""session_satisfaction"": ""4"", ""querying_satisfaction"": ""2"", ""search_layout_usefulness"": ""1""}"
"15","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723216562","{32,1,47,48,35,53}","{""age"": ""22"", ""major"": ""Education "", ""english_level"": ""4"", ""education_level"": ""Bachelor's Degree"", ""search_expertise"": ""2""}"
"16","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723216703","{32,1,47,48,35,53}","{""stress_level"": ""1"", ""distraction_level"": ""1"", ""session_satisfaction"": ""1"", ""querying_satisfaction"": ""1"", ""search_layout_usefulness"": ""0""}"
"17","50986b35-e6db-4b19-97e4-b5b348ff26f2","1723216781","{44,27,52,18,13,57}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
"18","088f33ed-9ea2-478c-925f-86d4f2a9c981","1723217820","{15,57,9,2,50,35}","{""age"": """", ""major"": """", ""english_level"": ""1"", ""education_level"": ""High School"", ""search_expertise"": ""1""}"
